id,ts,market_id,market_title,mode,side,contracts,entry_price_cents,trade_amount_dollars,confidence_score,model_prob,implied_prob,btc_price_at_entry,strike,seconds_left_at_entry,fill_confirmed,exit_price_cents,exit_reason,outcome,pnl_dollars,profit_percent,order_id,asset,raw_p_yes,entry_signals,calibrated_p_yes,signal_name,strategy_variant,strategy_version,brain
2888,2026-06-23T20:57:53Z,KXSOL15M-26JUN231700-00,KXSOL15M-26JUN231700-00,paper,no,82,29,23.78,50,0.5,0.29,68.89,68.8977,126,1,100,expiry,win,57.03,244.83,paper_1782248273451,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.21000000000000002, ""abs_pct"": 0.00011175989909677418}",,,strategy1,,s1
2887,2026-06-23T20:57:42Z,KXXRP15M-26JUN231700-00,KXXRP15M-26JUN231700-00,paper,no,63,38,23.94,50,0.5,0.38,1.10285,1.103,137,1,100,expiry,win,38.02,163.16,paper_1782248262932,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.12, ""abs_pct"": 4.533091568439118e-05}",,,strategy1,,s1
2886,2026-06-23T18:48:37Z,KXETH15M-26JUN231500-00,KXETH15M-26JUN231500-00,paper,no,82,29,23.78,52,0.5241166644892205,0.29,1647.91,1648.88,683,1,0,expiry,loss,-24.97,-100.0,paper_1782240517185,ETH,0.47588333551077955,"{""win_prob"": 0.5241166644892205, ""ev"": 0.18588333551077957, ""abs_pct"": 0.0005882781039251051}",,,strategy1,,s1
2885,2026-06-23T18:11:00Z,KXETH15M-26JUN231415-15,KXETH15M-26JUN231415-15,paper,no,64,37,23.68,50,0.5,0.37,1654.795,1654.99,239,1,0,expiry,loss,-24.73,-100.0,paper_1782238260920,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.13, ""abs_pct"": 0.00011782548535032619}",,,strategy1,,s1
2884,2026-06-23T18:10:16Z,KXSOL15M-26JUN231415-15,KXSOL15M-26JUN231415-15,paper,no,63,38,23.94,50,0.5,0.38,68.675,68.6992,283,1,0,expiry,loss,-24.98,-100.0,paper_1782238216681,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.12, ""abs_pct"": 0.0003522602883295227}",,,strategy1,,s1
2883,2026-06-23T17:11:24Z,KXETH15M-26JUN231315-15,KXETH15M-26JUN231315-15,paper,no,58,41,23.78,50,0.5,0.41,1657.915,1658.16,215,1,100,expiry,win,33.23,143.9,paper_1782234684684,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09000000000000002, ""abs_pct"": 0.00014775413711591055}",,,strategy1,,s1
2882,2026-06-23T15:42:18Z,KXSOL15M-26JUN231145-45,KXSOL15M-26JUN231145-45,paper,no,57,42,23.94,50,0.5,0.42,68.585,68.5857,162,1,0,expiry,loss,-24.92,-100.0,paper_1782229338061,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 1.020620916618226e-05}",,,strategy1,,s1
2881,2026-06-23T13:12:53Z,KXXRP15M-26JUN230915-15,KXXRP15M-26JUN230915-15,paper,no,88,27,23.76,50,0.5,0.27,1.09965,1.0997,126,1,0,expiry,loss,-24.98,-100.0,paper_1782220373558,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.22999999999999998, ""abs_pct"": 4.546694553049329e-05}",,,strategy1,,s1
2880,2026-06-23T12:38:13Z,KXSOL15M-26JUN230845-45,KXSOL15M-26JUN230845-45,paper,no,57,42,23.94,50,0.5,0.42,69.085,69.0967,407,1,100,expiry,win,32.08,138.1,paper_1782218293152,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 0.00016932791291052548}",,,strategy1,,s1
2879,2026-06-23T12:18:11Z,KXETH15M-26JUN230830-30,KXETH15M-26JUN230830-30,paper,no,59,40,23.6,50,0.5,0.4,1655.74,1656.22,708,1,0,expiry,loss,-24.6,-100.0,paper_1782217091608,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 0.0002898165702624157}",,,strategy1,,s1
2878,2026-06-23T00:53:44Z,KXSOL15M-26JUN222100-00,KXSOL15M-26JUN222100-00,paper,no,66,36,23.76,51,0.5181976468554186,0.36,71.705,71.7455,375,1,0,expiry,loss,-24.83,-100.0,paper_1782176024375,SOL,0.4818023531445814,"{""win_prob"": 0.5181976468554186, ""ev"": 0.12180235314458143, ""abs_pct"": 0.0005644953342022655}",,,strategy1,,s1
2877,2026-06-22T23:23:14Z,KXETH15M-26JUN221930-30,KXETH15M-26JUN221930-30,paper,no,58,41,23.78,50,0.5,0.41,1722.325,1723.17,405,1,0,expiry,loss,-24.77,-100.0,paper_1782170594415,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09000000000000002, ""abs_pct"": 0.0004903752966915785}",,,strategy1,,s1
