id,ts,market_id,market_title,mode,side,contracts,entry_price_cents,trade_amount_dollars,confidence_score,model_prob,implied_prob,btc_price_at_entry,strike,seconds_left_at_entry,fill_confirmed,exit_price_cents,exit_reason,outcome,pnl_dollars,profit_percent,order_id,asset,raw_p_yes,entry_signals,calibrated_p_yes,signal_name,strategy_variant,strategy_version,brain
2928,2026-06-27T19:09:00Z,KXSOL15M-26JUN271515-15,KXSOL15M-26JUN271515-15,paper,no,70,34,23.8,51,0.5196245030010916,0.34,71.765,71.8078,360,1,0,expiry,loss,-24.9,-100.0,paper_1782587340015,SOL,0.48037549699890836,"{""win_prob"": 0.5196245030010916, ""ev"": 0.14037549699890833, ""abs_pct"": 0.0005960355281738157}",,,strategy1,,s1
2927,2026-06-27T11:41:16Z,KXSOL15M-26JUN270745-45,KXSOL15M-26JUN270745-45,paper,no,72,33,23.76,50,0.5,0.33,71.5,71.5093,223,1,0,expiry,loss,-24.88,-100.0,paper_1782560476591,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.16999999999999998, ""abs_pct"": 0.00013005301408342817}",,,strategy1,,s1
2926,2026-06-27T11:33:11Z,KXETH15M-26JUN270745-45,KXETH15M-26JUN270745-45,paper,no,66,36,23.76,50,0.5,0.36,1578.195,1578.27,708,1,0,expiry,loss,-24.83,-100.0,paper_1782559991642,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.14, ""abs_pct"": 4.752038624572822e-05}",,,strategy1,,s1
2925,2026-06-26T22:25:20Z,KXSOL15M-26JUN261830-30,KXSOL15M-26JUN261830-30,paper,no,72,33,23.76,50,0.5,0.33,71.65,71.6575,280,1,100,expiry,win,47.12,203.03,paper_1782512720316,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.16999999999999998, ""abs_pct"": 0.0001744409168614987}",,,strategy1,,s1
2924,2026-06-26T20:50:07Z,KXSOL15M-26JUN261700-00,KXSOL15M-26JUN261700-00,paper,no,66,36,23.76,50,0.5,0.36,72.14,72.1488,593,1,100,expiry,win,41.17,177.78,paper_1782507007080,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.14, ""abs_pct"": 0.0001219701505776077}",,,strategy1,,s1
2923,2026-06-26T20:18:22Z,KXSOL15M-26JUN261630-30,KXSOL15M-26JUN261630-30,paper,no,64,37,23.68,50,0.5,0.37,72.705,72.72,697,1,0,expiry,loss,-24.73,-100.0,paper_1782505102427,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.13, ""abs_pct"": 0.00020627062706271408}",,,strategy1,,s1
2922,2026-06-26T19:37:25Z,KXETH15M-26JUN261545-45,KXETH15M-26JUN261545-45,paper,yes,47,51,23.97,58,0.5837953383683568,0.51,1578.79,1576.16,455,1,100,expiry,win,22.2,96.08,paper_1782502645051,ETH,0.5837953383683568,"{""win_prob"": 0.5837953383683568, ""ev"": 0.07379533836835683, ""abs_pct"": 0.0016686123236218922}",,,strategy1,,s1
2921,2026-06-26T19:07:07Z,KXETH15M-26JUN261515-15,KXETH15M-26JUN261515-15,paper,no,98,24,23.52,50,0.5,0.24,1569.955,1570.58,472,1,0,expiry,loss,-24.78,-100.0,paper_1782500827987,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.26, ""abs_pct"": 0.00039794216149447977}",,,strategy1,,s1
2920,2026-06-26T14:57:13Z,KXETH15M-26JUN261100-00,KXETH15M-26JUN261100-00,paper,no,76,31,23.56,50,0.5,0.31,1554.97,1555.73,167,1,0,expiry,loss,-24.7,-100.0,paper_1782485833143,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.19, ""abs_pct"": 0.0004885166449190996}",,,strategy1,,s1
2919,2026-06-26T14:24:07Z,KXETH15M-26JUN261030-30,KXETH15M-26JUN261030-30,paper,yes,53,45,23.85,55,0.5541217901842422,0.45,1566.145,1564.66,353,1,100,expiry,win,28.23,122.22,paper_1782483847224,ETH,0.5541217901842422,"{""win_prob"": 0.5541217901842422, ""ev"": 0.10412179018424222, ""abs_pct"": 0.0009490879807753121}",,,strategy1,,s1
